date	study_day	time_period	time_window	390 Gavage Low	381 Gavage Low	389 Gavage Med	382 Gavage Med	384 Gavage High	393 Gavage High	378 IP Low	394 IP Medium	377 Ip Medium	388 IP High	379 IP High
21-Jan	6	Non Dose 3	Post Dose 3	34.5	33.41571429	33.65142857	34.25857143	34.71	33.04285714	32.30285714	32.36	32.46	32.84428571	32.46857143
21-Jan	6	Non Dose 3	Post Dose 4	34.06285714	33.77142857	33.50428571	34.49714286	35.54857143	32.91285714	32.64	32.55714286	31.76285714	32.55571429	32.73571429
21-Jan	6	Non Dose 3	Post Dose 5	34.83285714	34.62571429	34.38142857	34.76428571	36.71428571	33.62857143	33.05714286	33.42571429	32.77	33.05428571	33.06142857
21-Jan	6	Non Dose 3	Post Dose 6	35.3	35.31285714	35.07571429	34.94714286	37.50714286	33.86428571	33.28285714	33.80571429	33.56285714	33.32571429	34.14857143
24-Jan	9	Dose 5	PreDose	34.39571429	33.38714286	33.35	34.58428571	35.45285714	32.55	32.61428571	31.95285714	32.27142857	31.85	32.4
24-Jan	9	Dose 5	Dose	34.5125	33.765	34.09	34.57125	36.1725	32.87125	32.8975	32.5275	32.1525	31.92375	32.655
24-Jan	9	Dose 5	Post Dose 1	34.57571429	33.15	33.46	34.35285714	35.86285714	32.16142857	32.53	32.82285714	30.83714286	32.05714286	33.29428571
24-Jan	9	Dose 5	Post Dose 2	33.55	33.37714286	33.90571429	34.39857143	34.66571429	32.08428571	31.91142857	31.82571429	32.03428571	31.42428571	32.77
24-Jan	9	Dose 5	Post Dose 3	34.47571429	33.35	33.05	35.01	35.74	32.48714286	32.78285714	31.78285714	32.33285714	31.96857143	32.98714286
24-Jan	9	Dose 5	Post Dose 4	34.11	32.71714286	34.02857143	34.73285714	35.41857143	31.84428571	32.55428571	32.4	32.15571429	32.14571429	33.16285714
24-Jan	9	Dose 5	Post Dose 5	35.26571429	33.86857143	34.50285714	34.71571429	36.16285714	32.98571429	32.99142857	32.72714286	32.92285714	32.44857143	33.87285714
24-Jan	9	Dose 5	Post Dose 6	35.37428571	35.09714286	34.27857143	34.79	37.23571429	33.48142857	33.27428571	32.68428571	32.09571429	32.45142857	33.64714286
25-Jan	10	NonDose 5	PreDose	34.19428571	33.20857143	33.11857143	34.13857143	34.38571429	32.69571429	32.65142857	32.11714286	31.68571429	31.96428571	32.35571429
25-Jan	10	NonDose 5	Dose	33.90714286	32.48285714	32.85714286	34.07714286	35.37428571	32.62285714	32.05142857	32.39285714	32.09428571	32.12428571	33.04
25-Jan	10	NonDose 5	Post Dose 1	34.26	33.08142857	33.42285714	35.07428571	34.63571429	32.54857143	32.41714286	32.45571429	32.15571429	31.82571429	32.68428571
25-Jan	10	NonDose 5	Post Dose 2	33.38428571	33.30142857	32.38428571	35.90571429	36.03	32.54571429	32.28714286	32.23	32.19714286	31.94285714	32.59714286
25-Jan	10	NonDose 5	Post Dose 3	34.23285714	32.72714286	33.27857143	34.53142857	34.33857143	32.63428571	32.21714286	32.74571429	31.79428571	31.89428571	32.61285714
25-Jan	10	NonDose 5	Post Dose 4	33.72	33.08142857	33.27285714	34.26142857	35.69285714	32.68428571	32.69857143	32.17142857	32.53571429	32.00857143	32.86428571
25-Jan	10	NonDose 5	Post Dose 5	34.42857143	33.73714286	33.87142857	34.13	36.02857143	33.16857143	33.10571429	32.97857143	32.94142857	32.63571429	33.15
25-Jan	10	NonDose 5	Post Dose 6	34.74714286	35.35571429	34.98285714	34.60714286	37.22571429	33.90428571	33.84285714	32.36857143	33.89285714	33.16285714	33.87571429
26-Jan	11	Dose 6	PreDose	34.29	33.25857143	32.57857143	33.98857143	34.90142857	32.6	32.80142857	32.04428571	32.03857143	31.83428571	32.41428571
26-Jan	11	Dose 6	Dose	34.27	33.90428571	33.87571429	34.91571429	36.93142857	33.16	33.17857143	32.23428571	31.79142857	31.66857143	33.11857143
26-Jan	11	Dose 6	Post Dose 1	33.65571429	33.91	32.87285714	34.52571429	35.74428571	33.10714286	31.85285714	31.72571429	31.48857143	30.64142857	33.17857143
26-Jan	11	Dose 6	Post Dose 2	33.80142857	33.43428571	33.92	34.26142857	35.31	32.76428571	32.26142857	31.26571429	30.71428571	30.65285714	32.86
26-Jan	11	Dose 6	Post Dose 3	33.51	32.86285714	32.62142857	33.87428571	34.42428571	32.80285714	33.02714286	32.26857143	31.01714286	31.19	32.85285714
26-Jan	11	Dose 6	Post Dose 4	33.77857143	33.63428571	33.79285714	34.45428571	36.48	32.52571429	32.80857143	32.83142857	31.58428571	31.71571429	32.29571429
26-Jan	11	Dose 6	Post Dose 5	34.31285714	33.25857143	33.56571429	34.68285714	37.28	32.77571429	33.31428571	32.92285714	32.29142857	32.05428571	33.37
26-Jan	11	Dose 6	Post Dose 6	34.69571429	34.80714286	34.60428571	34.65142857	37.13857143	33.44571429	33.86714286	33.31714286	32.99571429	32.47571429	33.51857143
27-Jan	12	NonDose 6	PreDose	33.62714286	33.37714286	33.85142857	34.50857143	34.28	32.67428571	32.28571429	32.26	32.35714286	31.72714286	32.35857143
27-Jan	12	NonDose 6	Dose	33.81857143	33.35714286	32.67428571	33.03285714	35.05142857	32.61571429	32.48857143	31.98428571	32.05285714	32.29142857	32.59142857
27-Jan	12	NonDose 6	Post Dose 1	34.35857143	33.50428571	33.13	33.99428571	34.56142857	32.32142857	32.28428571	32.38857143	32.20857143	31.94714286	32.25285714
27-Jan	12	NonDose 6	Post Dose 2	33.57285714	33.2	32.56428571	33.11857143	35.67428571	32.54571429	32.74714286	32.39857143	32.18428571	31.72714286	32.71714286
27-Jan	12	NonDose 6	Post Dose 3	34.09714286	33.33142857	34.03285714	33.64	34.91714286	32.69428571	32.47142857	32.63714286	32.35571429	32.06142857	32.61571429
27-Jan	12	NonDose 6	Post Dose 4	34.04428571	33.56142857	33.93571429	34.25	35.96571429	32.81428571	32.66	32.31714286	31.68571429	32.07714286	32.66857143
27-Jan	12	NonDose 6	Post Dose 5	34.52857143	33.94714286	34.33285714	34.37285714	36.59285714	33.35142857	33.07571429	33.30857143	32.53285714	32.61714286	33.33285714
27-Jan	12	NonDose 6	Post Dose 6	34.53	35.24571429	35.71857143	34.63714286	37.29571429	33.89428571	33.46428571	33.41	33.63	33.42142857	34.33285714
28-Jan	13	Dose 7	PreDose	33.62	33.57	33.07142857	34.2	34.92142857	32.81714286	32.48	32.31142857	32.48428571	32.01428571	32.86142857
28-Jan	13	Dose 7	Dose	33.93714286	34.30857143	33.85428571	34.85285714	37.02285714	32.85285714	32.57714286	32.22142857	32.63714286	31.84285714	32.61142857
28-Jan	13	Dose 7	Post Dose 1	33.48	33.11571429	32.86857143	34.65	35.36428571	32.47571429	32.20142857	31.56857143	31.53714286	31.78285714	32.60857143
28-Jan	13	Dose 7	Post Dose 2	33.15142857	33.18714286	32.88142857	34.53857143	36.20571429	32.44714286	32.35714286	30.89857143	32.08857143	31.78571429	32.45571429
28-Jan	13	Dose 7	Post Dose 3	34.36142857	33.48	34.57571429	33.92285714	34.47142857	32.15714286	32.63285714	31.64714286	32.29428571	31.49571429	33.04
28-Jan	13	Dose 7	Post Dose 4	33.34428571	33.24571429	32.47571429	34.28714286	35.11142857	32.30714286	32.59857143	31.63428571	32.20428571	31.98142857	32.84714286
28-Jan	13	Dose 7	Post Dose 5	34.38428571	34.17	34.00857143	34.24857143	36.55571429	32.92142857	32.91428571	32.90857143	32.58142857	32.09714286	33.00142857
28-Jan	13	Dose 7	Post Dose 6	34.36857143	35.47857143	35.15428571	34.73	37.29	33.27142857	32.89571429	33.12	32.80857143	33.04714286	33.31428571
29-Jan	14	NonDose7	PreDose	33.10571429	33.58142857	33.53857143	33.33285714	35.36571429	32.08142857	32.17857143	32.33	32.16142857	31.64428571	32.94571429
29-Jan	14	NonDose7	Dose	33.43	33.25	33.02428571	34.04857143	35	32.13714286	32.33857143	32.26714286	32.09428571	31.7	32.74285714
29-Jan	14	NonDose7	Post Dose 1	33.10857143	33.35142857	33.28714286	33.84285714	35.29142857	32.41428571	32.35571429	32.15428571	32.29714286	31.37428571	32.51714286
29-Jan	14	NonDose7	Post Dose 2	33.41714286	33.16428571	32.63714286	34.13571429	34.45571429	32.51428571	32.55142857	32.62428571	31.68285714	31.6	32.41714286
29-Jan	14	NonDose7	Post Dose 3	33.57	33.05	33.79	33.72285714	35.53428571	32.27857143	32.31	32.23571429	32.29714286	31.66142857	32.71571429
29-Jan	14	NonDose7	Post Dose 4	33.46	33.59428571	33.58142857	33.98142857	35.05	32.69285714	32.61285714	32.34285714	32.29857143	31.62142857	32.68
29-Jan	14	NonDose7	Post Dose 5	34.08571429	34.09571429	34.49571429	34.49142857	36.20428571	32.93571429	32.96714286	33.34857143	32.47857143	32.51	33.18857143
29-Jan	14	NonDose7	Post Dose 6	34.30571429	35.25428571	35.56428571	34.92285714	37.17142857	33.33428571	33.53	33.57857143	33.73714286	33.25714286	33.85571429
30-Jan	15	Sac Day	PreDose	33.72142857	33.27	33.33285714	34.24142857	35.01857143	32.40142857	32.81285714	32.03428571	32.68714286	32.33857143	32.54142857
30-Jan	15	Sac Day	Dose	0.527933979	0.410812204	0.50019044	0.347631441	0.622747369	0.249026677	0.480024801	0.71779424	0.70603858	0.399851163	0.328756677
30-Jan	15	Sac Day	Post Dose 1	33.69428571	32.69714286	33.28285714	33.98714286	34.85714286	31.59571429	31.70857143	32.01857143	31.97285714	31.97571429	31.97
30-Jan	15	Sac Day	Post Dose 2	0.399827344	0.425938739	0.466287261	0.414194571	0.654693676	0.20403081	0.196759462	0.434987685	0.519862619	0.588496875	0.180739223
