date	study_day	time_period	time_window	887 Free Feed Control	883 Free Feed Control	884 Free Feed low	892 Free Feed Low	864 Free Feed Med	889 Free Feed Med	869 Free Feed high	894 Free Feed High	886 Free Feed High	893 IP Control	865 IP High	872 IP High
26-Jul	5	Dose 3	PreDose	41.09142857	41.09714286	41.05285714	41.11142857	41.05428571	41.05857143	41.03857143	41.05285714	41.06571429	41.06142857	41.05428571	41.03142857
26-Jul	5	Dose 3	Dose	41.09857143	41.09	41.06142857	41.11	41.04285714	41.05428571	41.03285714	41.05142857	41.08	41.06714286	41.07	41.02857143
26-Jul	5	Dose 3	Post Dose 1	41.10285714	41.08714286	41.06571429	41.11571429	41.04571429	41.08142857	41.02714286	41.04	41.07285714	41.07285714	41.03428571	41.01285714
26-Jul	5	Dose 3	Post Dose 2	41.08857143	41.09714286	41.06428571	41.11428571	41.05142857	41.04142857	41.01571429	41.04	41.07714286	41.06571429	41.00285714	41.02
26-Jul	5	Dose 3	Post Dose 3	41.07857143	41.08857143	41.05285714	41.10142857	41.04	41.06	41.02285714	41.03571429	41.07714286	41.05285714	41.05428571	41.02857143
26-Jul	5	Dose 3	Post Dose 4	41.07428571	41.08428571	41.04571429	41.09714286	41.04	41.06714286	41.03	41.04	41.07428571	41.04857143	41.05285714	41.02571429
26-Jul	5	Dose 3	Post Dose 5	41.07857143	41.08285714	41.05142857	41.10714286	41.03571429	41.04857143	41.01714286	41.03428571	41.05857143	41.06142857	41.05428571	41.03571429
26-Jul	5	Dose 3	Post Dose 6	41.07857143	41.07428571	41.05	41.10285714	41.03428571	41.03857143	41.02571429	41.03714286	41.06571429	41.04571429	41.03857143	41.02571429
27-Jul	6	Non Dose 3	PreDose	41.09428571	41.09428571	41.05428571	41.11428571	41.04857143	41.07857143	41.02142857	41.04285714	41.07428571	41.07285714	41.08428571	41.01571429
27-Jul	6	Non Dose 3	Dose	41.09	41.08571429	41.04285714	41.09428571	41.04285714	41.05	41.01714286	41.03	41.05428571	41.05428571	41.06	41.01571429
27-Jul	6	Non Dose 3	Post Dose 1	41.08714286	41.07571429	41.04571429	41.09285714	41.04714286	41.07	41.01428571	41.04285714	41.06428571	41.04714286	41.06714286	41.02142857
27-Jul	6	Non Dose 3	Post Dose 2	41.10428571	41.09571429	41.05857143	41.08285714	41.04428571	41.05714286	41.02142857	41.02428571	41.07428571	41.06142857	41.07428571	41.01714286
27-Jul	6	Non Dose 3	Post Dose 3	41.10571429	41.08142857	41.05857143	41.09285714	41.04285714	41.06142857	41.02428571	41.04142857	41.06714286	41.07	41.07	41.01142857
27-Jul	6	Non Dose 3	Post Dose 4	41.08428571	41.09142857	41.04285714	41.07285714	41.04428571	41.06142857	41.02285714	41.01571429	41.06714286	41.05714286	41.06	41.00571429
27-Jul	6	Non Dose 3	Post Dose 5	41.09142857	41.07857143	41.06	41.09714286	41.05285714	41.05714286	41.01571429	41.04428571	41.07285714	41.06428571	41.07428571	41.02857143
27-Jul	6	Non Dose 3	Post Dose 6	41.09428571	41.07142857	41.06571429	41.09	41.04857143	41.05	41.02142857	41.02857143	41.05714286	41.05571429	41.07285714	41.00857143
28-Jul	7	Dose 4	PreDose	41.09285714	41.06714286	41.05714286	41.08428571	41.02714286	41.05285714	41.01571429	41.03857143	41.07142857	41.06428571	41.05	41.02142857
28-Jul	7	Dose 4	Dose	41.09	41.07285714	41.05428571	41.08142857	41.04142857	41.05	41.02285714	41.03571429	41.07285714	41.07714286	41.05285714	41.01285714
28-Jul	7	Dose 4	Post Dose 1	41.09714286	41.08285714	41.07285714	41.09142857	41.04857143	41.04857143	41.03142857	41.02857143	41.08285714	41.06142857	41.06857143	41.02428571
28-Jul	7	Dose 4	Post Dose 2	41.08571429	41.07142857	41.06285714	41.09	41.03428571	41.04714286	41.01714286	41.03857143	41.07714286	41.05857143	41.05714286	41.02714286
28-Jul	7	Dose 4	Post Dose 3	41.06857143	41.08142857	41.05142857	41.08714286	41.04142857	41.05142857	41.03571429	41.01142857	41.08142857	41.06571429	41.04571429	41.01285714
28-Jul	7	Dose 4	Post Dose 4	41.07714286	41.06571429	41.05714286	41.09142857	41.05285714	41.03428571	40.99714286	41.01285714	41.06285714	41.05	41.06571429	41.01142857
28-Jul	7	Dose 4	Post Dose 5	41.07428571	41.06571429	41.05142857	41.07714286	41.04142857	41.05285714	41.02142857	41.00285714	41.07142857	41.04857143	41.03857143	41.01857143
28-Jul	7	Dose 4	Post Dose 6	41.10142857	41.06714286	41.06142857	41.07285714	41.04428571	41.04285714	41.01571429	41.02714286	41.07285714	41.05571429	41.04	41.02285714
29-Jul	8	NoDose 4	PreDose	41.09142857	41.05857143	41.05571429	41.07142857	41.05428571	41.06142857	41.02571429	41.01142857	41.07714286	41.06	41.04857143	41.02571429
29-Jul	8	NoDose 4	Dose	41.08142857	41.07142857	41.04428571	41.09	41.02571429	41.03571429	41.01285714	41.02285714	41.06714286	41.06	41.03142857	41.02142857
29-Jul	8	NoDose 4	Post Dose 1	41.08571429	41.06285714	41.05	41.07142857	41.03857143	41.04714286	41.02857143	41.00428571	41.07857143	41.06142857	41.04857143	41.01428571
29-Jul	8	NoDose 4	Post Dose 2	41.08428571	41.06285714	41.06285714	41.08142857	41.03142857	41.03857143	41.01428571	41.01714286	41.07285714	41.06428571	41.04714286	41.01857143
29-Jul	8	NoDose 4	Post Dose 3	41.08571429	41.06	41.06285714	41.07428571	41.04428571	41.03714286	41.01	41.01428571	41.08	41.06142857	41.02285714	41.01285714
29-Jul	8	NoDose 4	Post Dose 4	41.08857143	41.07428571	41.06428571	41.07857143	41.03428571	41.03714286	41.02142857	41.01571429	41.07714286	41.06142857	41.02	41.02571429
29-Jul	8	NoDose 4	Post Dose 5	41.08	41.06142857	41.06428571	41.08285714	41.05142857	41.03285714	41.02	41.01285714	41.08	41.06142857	41.05142857	41.01714286
29-Jul	8	NoDose 4	Post Dose 6	41.08571429	41.06714286	41.06	41.08428571	41.04428571	41.01428571	41.00428571	41.00571429	41.08142857	41.04714286	41.03571429	41.00857143
30-Jul	9	Dose 5	PreDose	41.08857143	41.05285714	41.04714286	41.07571429	41.02857143	41.03428571	41.02	41.01	41.05857143	41.05714286	41.02428571	41.01142857
30-Jul	9	Dose 5	Dose	41.08	41.07571429	41.05142857	41.08142857	41.03285714	41.03571429	41.02428571	41.01571429	41.06571429	41.06714286	41.04714286	41.02285714
30-Jul	9	Dose 5	Post Dose 1	41.08571429	41.05428571	41.05	41.07142857	41.05	41.04	41.02428571	41	41.06857143	41.06285714	41.03714286	41.01714286
30-Jul	9	Dose 5	Post Dose 2	41.08571429	41.06	41.05285714	41.07714286	41.03142857	41.03142857	41.03285714	41.00285714	41.07428571	41.05428571	41.01857143	41.02714286
30-Jul	9	Dose 5	Post Dose 3	41.08	41.04142857	41.05142857	41.07	41.04714286	41.05142857	41.01142857	41	41.05857143	41.05285714	41.02428571	41.01857143
30-Jul	9	Dose 5	Post Dose 4	41.06857143	41.05714286	41.05142857	41.08142857	41.02285714	41.02571429	41.01142857	40.98857143	41.05571429	41.05142857	41.02714286	41.01714286
30-Jul	9	Dose 5	Post Dose 5	41.07428571	41.03857143	41.05142857	41.07	41.04285714	41.02428571	41.01428571	40.99285714	41.06142857	41.05	41.02714286	41.02857143
30-Jul	9	Dose 5	Post Dose 6	41.07285714	41.05857143	41.05571429	41.08	41.03285714	41.02	41.01714286	40.98714286	41.05571429	41.04285714	41.00857143	41.01714286
31-Jul	10	NonDose 5	PreDose	41.08285714	41.06857143	41.07428571	41.07571429	41.03428571	41.04714286	41.00571429	41.01571429	41.06	41.03714286	41.02571429	41.02428571
31-Jul	10	NonDose 5	Dose	41.07714286	41.05428571	41.06	41.07571429	41.02285714	41.03142857	41.01	40.99857143	41.04285714	41.03285714	41.02142857	41.00857143
31-Jul	10	NonDose 5	Post Dose 1	41.07571429	41.04571429	41.05714286	41.06571429	41.03714286	41.02714286	41	40.99714286	41.02571429	41.05714286	41.00428571	41.00285714
31-Jul	10	NonDose 5	Post Dose 2	41.09142857	41.05142857	41.05285714	41.07428571	41.03285714	41.04428571	41.02142857	40.99714286	41.03428571	41.04857143	41.02571429	41.00428571
31-Jul	10	NonDose 5	Post Dose 3	41.07142857	41.05571429	41.05714286	41.07285714	41.04	41.03571429	41	41	41.02571429	41.04571429	41.02	41.02857143
31-Jul	10	NonDose 5	Post Dose 4	41.07428571	41.06	41.04571429	41.07714286	41.03142857	41.03714286	41.01857143	40.99	41.03428571	41.07	41.01857143	41.00714286
31-Jul	10	NonDose 5	Post Dose 5	41.09428571	41.04571429	41.05	41.08428571	41.03571429	41.02714286	41.00714286	41.00714286	41.06	41.04714286	41.01857143	41.02285714
31-Jul	10	NonDose 5	Post Dose 6	41.08	41.06428571	41.04857143	41.08857143	41.02285714	41.03571429	40.99428571	41.00428571	41.04857143	41.04142857	41.02285714	41.00714286
1-Aug	11	Dose 6	PreDose	41.08142857	41.04857143	41.05857143	41.06857143	41.03	41.02857143	41.01285714	40.99571429	41.06285714	41.05571429	41.01571429	41.02285714
1-Aug	11	Dose 6	Dose	41.09428571	41.05428571	41.05	41.07285714	41.04142857	41.03714286	41.01857143	41.01285714	41.07428571	41.05428571	41.05142857	41.02857143
1-Aug	11	Dose 6	Post Dose 1	41.07	41.03428571	41.04	41.06571429	41.03857143	41.03285714	41.01142857	40.98714286	41.06857143	41.05571429	41.05142857	41.01
1-Aug	11	Dose 6	Post Dose 2	41.09142857	41.05571429	41.04285714	41.08714286	41.02857143	41.04428571	41.01857143	40.99857143	41.05142857	41.05142857	41.07	41.01857143
1-Aug	11	Dose 6	Post Dose 3	41.07857143	41.05857143	41.05	41.08142857	41.03857143	41.03571429	41.00142857	40.99857143	41.06714286	41.06142857	41.08142857	41.04571429
1-Aug	11	Dose 6	Post Dose 4	41.07857143	41.05285714	41.05428571	41.07	41.03857143	41.04714286	41.01571429	40.98142857	41.02285714	41.03428571	41.05571429	41.04714286
1-Aug	11	Dose 6	Post Dose 5	41.08714286	41.03428571	41.03857143	41.07	41.01	41.03142857	41.01	40.98857143	41.05428571	41.02714286	41.06714286	41.04142857
1-Aug	11	Dose 6	Post Dose 6	41.09142857	41.05142857	41.05857143	41.07142857	41.04428571	41.03428571	41.01857143	40.98571429	41.03857143	41.03571429	41.02	41.03857143
2-Aug	12	NonDose 6	PreDose	41.07714286	41.04142857	41.05571429	41.07428571	41.01857143	41.03857143	41.00285714	41	41.04142857	41.03714286	41.03285714	41.01142857
2-Aug	12	NonDose 6	Dose	41.07571429	41.02857143	41.05	41.07285714	41.01571429	41.03285714	41.01	40.98714286	41.06285714	41.04142857	41.02571429	41.01714286
2-Aug	12	NonDose 6	Post Dose 1	41.08	41.04285714	41.05	41.07142857	41.02428571	41.02285714	40.99714286	41	41.04571429	41.03857143	41.01714286	41.00571429
2-Aug	12	NonDose 6	Post Dose 2	41.08	41.04285714	41.05571429	41.07428571	41.02714286	41.03285714	41.00714286	41.01285714	41.06428571	41.04428571	41.02714286	41.02
2-Aug	12	NonDose 6	Post Dose 3	41.08857143	41.05142857	41.05428571	41.08	41.03714286	41.02857143	41.03142857	41.00571429	41.05	41.04285714	41.02714286	41.02285714
2-Aug	12	NonDose 6	Post Dose 4	41.08142857	41.04571429	41.05571429	41.07142857	41.04142857	41.02571429	41.01142857	41.02142857	41.05142857	41.04714286	41.03428571	41.01571429
2-Aug	12	NonDose 6	Post Dose 5	41.07714286	41.03714286	41.04	41.05857143	41.02714286	41.02142857	41.01428571	41.02285714	41.05285714	41.06714286	41.02428571	41.02571429
2-Aug	12	NonDose 6	Post Dose 6	41.08428571	41.04571429	41.05428571	41.06857143	41.01571429	41.03571429	41.01142857	41.00857143	41.06142857	41.06857143	41.02428571	41.01428571
3-Aug	13	Dose 7	PreDose	41.07285714	41.03428571	41.05714286	41.07	41.02857143	41.02285714	41	40.99428571	41.04428571	41.05428571	41.01285714	41.01
3-Aug	13	Dose 7	Dose	41.1	41.04428571	41.06285714	41.07714286	41.03	41.03	41.02428571	41.01428571	41.05857143	41.05428571	41.03	41.03857143
3-Aug	13	Dose 7	Post Dose 1	41.07857143	41.04142857	41.05571429	41.06142857	41.03	41.02428571	41.01142857	40.99428571	41.04857143	41.04714286	41.02285714	41.01857143
3-Aug	13	Dose 7	Post Dose 2	41.08571429	41.04	41.05571429	41.07857143	41.02428571	41.02428571	41.00857143	40.98714286	41.05428571	41.03714286	41.03	41.01571429
3-Aug	13	Dose 7	Post Dose 3	41.06714286	41.03428571	41.04714286	41.07571429	41.02571429	41.03142857	41.01142857	41.00142857	41.05714286	41.04571429	41.01571429	41.01
3-Aug	13	Dose 7	Post Dose 4	41.07714286	41.03571429	41.05428571	41.06285714	41.04142857	41.01571429	41	40.99	41.04571429	41.02428571	41.01285714	40.98857143
3-Aug	13	Dose 7	Post Dose 5	41.08142857	41.05142857	41.05857143	41.07	41.02857143	41.00857143	41.01714286	40.99714286	41.05571429	41.03571429	41.04142857	40.99
3-Aug	13	Dose 7	Post Dose 6	41.08	41.04571429	41.06142857	41.07571429	41.03571429	41.03714286	41.02	41	41.04142857	41.01571429	41.02142857	41.00428571
4-Aug	14	NonDose7	PreDose	41.09	41.04285714	41.05285714	41.08	41.02714286	41.02	41.00571429	41.00142857	41.05857143	41.03142857	41.02	41.00857143
4-Aug	14	NonDose7	Dose	41.07714286	41.04428571	41.05285714	41.07285714	41.03	41.01285714	41.00285714	40.99857143	41.04285714	41.02428571	41.01571429	41.01428571
4-Aug	14	NonDose7	Post Dose 1	41.09571429	41.03571429	41.06	41.06857143	41.01714286	41.02285714	40.99571429	40.98428571	41.04	41.02142857	41.01571429	41.02142857
4-Aug	14	NonDose7	Post Dose 2	41.07714286	41.03857143	41.05285714	41.06571429	41.02857143	41.01571429	40.99571429	40.98857143	41.04857143	41.02142857	41.02428571	41.02
4-Aug	14	NonDose7	Post Dose 3	41.08428571	41.03285714	41.07142857	41.07	41.03	41.02857143	41.02571429	40.99571429	41.05428571	41.02571429	41.01571429	41.02714286
4-Aug	14	NonDose7	Post Dose 4	41.06571429	41.04285714	41.04142857	41.06428571	41.03	41.01285714	41.00857143	40.99571429	41.06285714	41.02285714	41.02285714	41.02
4-Aug	14	NonDose7	Post Dose 5	41.08285714	41.03142857	41.06428571	41.08428571	41.02571429	41.03428571	41.01285714	40.99857143	41.05714286	41.03285714	41.01857143	41.01285714
4-Aug	14	NonDose7	Post Dose 6	41.08285714	41.03857143	41.04857143	41.08428571	41.02857143	41.02714286	41.03	40.99714286	41.05428571	41.03	41.02428571	41.02285714
